name	image_id	face_id	url	bbox	sha256
Alley Mills	114640	51940	http://images.christianpost.com/full/60948/alley-mills.jpg	219,195,376,352	597382d3d05548467e991892f855c2ee140115cb0c0897adfeac43656af5a0ea
Alley Mills	114641	51941	http://www.biography.com/imported/images/Biography/Images/Profiles/M/Alley-Mills-222416-1-402.jpg	73,102,322,351	fe6433a68e2f3739901ae4365b4f6929d0f4516b1bc08d47ecd138fd202ae394
Alley Mills	114642	51942	http://upload.wikimedia.org/wikipedia/commons/1/1e/Alley_Mills.jpg	248,232,384,368	a801367c435fbf3fa9cf94a218c2d7fcbf4f1f5a76c665abc6f436df03da30f7
Alley Mills	114643	51943	http://www.exposay.com/celebrity-photos/orson-bean-and-alley-mills-36th-daytime-emmy-0pVb7r.jpg	298,78,410,190	3bdb160699487f95e613f4e713478684b2c18a481c26ed8c77f84264cf2a6049
Alley Mills	114645	51944	http://www.contactmusic.com/pics/lf/bold_and_beautiful_2_110312/alley-mills-orson-bean-25th-silver-anniversary_3773760.jpg	86,127,205,246	587b2962b7177ef6fa09d109a346330e3d36b48a7704f357dd1c0be95b865d7d
Alley Mills	114647	51945	http://www.womansday.com/cm/womansday/images/UJ/wd0409-The-Wonder-Years-628x371-3.jpg	235,71,372,208	4db83314e63867ef596ef3b6de4841cdce33cabc62e3b524d0863301b08eed84
Alley Mills	114648	51946	http://pics.wikifeet.com/Alley-Mills-Feet-348640.jpg	788,148,1107,467	80376f8a3bc414a4aa850ed36ca4f9588688dc892a8e67ecbebed76a9638d19b
Alley Mills	114649	51947	http://www.contactmusic.com/pics/lf/bold_and_beautiful_110312/alley-mills-and-orson-bean-25th-silver_3773505.jpg	65,122,173,230	0af11cbb36f1a9d31b20be8d282ab1493a60973d28394babd73b90a8025e4341
Alley Mills	114651	51948	http://3.bp.blogspot.com/-hnRMMXQtIcA/UHlTI8O57SI/AAAAAAAAREU/PiLH8w1hD1s/s1600/alley-mills-01.jpg	89,129,440,480	b08ebdc5b8b033c6d778b6f16a4bd5ff2b40fe257bd9ad8e20a3a59f8029c063
Alley Mills	114653	51949	http://www.contactmusic.com/pics/lf/bold_and_beautiful_110312/alley-mills-25th-silver-anniversary-party-for_3773548.jpg	115,112,280,277	8bfd91fa34ad3e31beaf15cb623b4bdf4bd26133ca64bc0c9d365a69fe0664b9
Alley Mills	114654	51950	http://images.tvrage.com/people_galleries/12/34791/82031.jpg	43,80,158,195	ba10fe689b2a6a9ac6d0b100ec1b1e5e14eceb165d7949aa21df4602818094b2
Alley Mills	114655	51951	http://farm9.staticflickr.com/8082/8390885073_3e7885b9ec_o.jpg	1175,466,2408,1699	c22eee2b0226a6f7f6da15d01c0530ea760d8a7390ca762e65baf6e46584d682
Alley Mills	114656	51952	http://www4.pictures.zimbio.com/gi/Alley%252BMills%252B25th%252BSilver%252BAnniversary%252BParty%252BqEiq5XT5Cotl.jpg	99,104,284,289	5efbf2c2132cb52b1e5d1dc6aee6bf161941e8326e3f72f56ef87b5908a2d1f9
Alley Mills	114657	51953	http://www1.pictures.zimbio.com/gi/Alley%252BMills%252BCBS%252BBold%252BBeautiful%252B6%252B000th%252BEpisode%252B_Z2XxpWAKZal.jpg	180,87,416,323	8d6c31d085cabb9451c14e29e844cf33799a5b6012c03ee1b7472013cef8dadf
